transaction_id,transaction_time,amount,hour,merchant_category,channel,distance_from_home_km,txns_last_hour,card_age_days,is_foreign_transaction,is_fraud
TXN0000000,2026-01-01 00:00:00,36.07,2,grocery,card_present,0.4,0,3389,0,0
TXN0000001,2026-01-01 00:01:00,62.38,10,travel,online,13.3,0,3850,0,0
TXN0000002,2026-01-01 00:03:00,745.01,3,electronics,online,224.3,4,3187,1,1
TXN0000003,2026-01-01 00:03:00,98.8,11,online_retail,card_present,15.4,1,2364,0,0
TXN0000004,2026-01-01 00:03:00,134.12,20,fuel,online,1.2,1,2709,0,0
TXN0000005,2026-01-01 00:03:00,7.58,20,electronics,card_present,2.1,0,352,0,0
TXN0000006,2026-01-01 00:05:00,48.62,12,electronics,card_present,8.1,2,1313,0,0
TXN0000007,2026-01-01 00:06:00,78.46,12,fuel,card_present,20.1,0,583,0,0
TXN0000008,2026-01-01 00:08:00,58.47,16,restaurant,card_present,19.3,0,939,0,0
TXN0000009,2026-01-01 00:08:00,31.69,17,grocery,online,2.1,1,3123,0,0
TXN0000010,2026-01-01 00:09:00,23.23,18,grocery,card_present,11.9,2,1442,0,0
TXN0000011,2026-01-01 00:09:00,87.84,16,electronics,card_present,32.2,0,2317,0,0
TXN0000012,2026-01-01 00:09:00,65.26,18,restaurant,card_present,3.0,0,1004,0,0
TXN0000013,2026-01-01 00:10:00,109.38,10,restaurant,card_present,37.9,1,1644,0,0
TXN0000014,2026-01-01 00:11:00,81.33,19,online_retail,mobile_app,3.4,0,57,0,0
TXN0000015,2026-01-01 00:12:00,15.85,13,cash_advance,card_present,6.4,1,530,0,0
TXN0000016,2026-01-01 00:12:00,116.46,11,entertainment,card_present,2.7,0,2418,0,0
TXN0000017,2026-01-01 00:12:00,44.06,8,cash_advance,card_present,2.7,0,2808,0,0
TXN0000018,2026-01-01 00:14:00,32.56,15,grocery,mobile_app,19.4,1,1581,0,0
TXN0000019,2026-01-01 00:14:00,184.78,13,grocery,online,4.4,1,2655,0,0
TXN0000020,2026-01-01 00:15:00,34.5,10,online_retail,card_present,0.8,2,1019,0,0
TXN0000021,2026-01-01 00:15:00,20.6,21,electronics,mobile_app,4.5,0,3119,0,0
TXN0000022,2026-01-01 00:17:00,156.63,12,restaurant,card_present,25.0,0,102,0,0
TXN0000023,2026-01-01 00:19:00,76.17,8,electronics,card_present,1.5,0,3458,0,0
TXN0000024,2026-01-01 00:19:00,34.78,17,restaurant,mobile_app,1.9,0,2426,0,0
TXN0000025,2026-01-01 00:19:00,59.74,18,grocery,mobile_app,44.6,0,3293,0,0
TXN0000026,2026-01-01 00:22:00,46.16,13,grocery,mobile_app,0.1,0,1332,0,0
TXN0000027,2026-01-01 00:23:00,59.55,18,grocery,card_present,6.9,0,1308,0,0
TXN0000028,2026-01-01 00:23:00,42.77,0,fuel,online,21.9,0,3538,0,0
TXN0000029,2026-01-01 00:24:00,45.19,14,grocery,card_present,20.3,1,145,0,0
TXN0000030,2026-01-01 00:26:00,18.26,13,restaurant,card_present,6.3,0,3959,0,0
TXN0000031,2026-01-01 00:27:00,371.84,20,fuel,mobile_app,7.6,1,2551,0,0
TXN0000032,2026-01-01 00:27:00,201.24,13,grocery,mobile_app,6.5,1,2096,0,0
TXN0000033,2026-01-01 00:28:00,106.5,15,travel,card_present,8.4,1,3862,0,0
TXN0000034,2026-01-01 00:30:00,124.69,11,fuel,card_present,16.5,2,548,0,0
TXN0000035,2026-01-01 00:31:00,99.59,8,restaurant,online,0.8,1,3654,0,0
TXN0000036,2026-01-01 00:32:00,131.55,20,grocery,mobile_app,6.6,0,3076,0,0
TXN0000037,2026-01-01 00:33:00,55.49,15,restaurant,card_present,13.8,0,996,0,0
TXN0000038,2026-01-01 00:34:00,41.98,13,grocery,card_present,0.6,0,1171,0,0
TXN0000039,2026-01-01 00:34:00,58.58,19,restaurant,mobile_app,19.6,0,1193,0,0
TXN0000040,2026-01-01 00:35:00,57.76,8,grocery,card_present,10.4,1,2296,0,0
TXN0000041,2026-01-01 00:36:00,21.95,14,electronics,mobile_app,12.7,0,265,0,0
TXN0000042,2026-01-01 00:36:00,110.01,15,grocery,card_present,1.4,0,738,0,0
TXN0000043,2026-01-01 00:37:00,35.35,18,entertainment,card_present,7.6,2,2276,0,0
TXN0000044,2026-01-01 00:37:00,146.87,10,grocery,card_present,1.5,0,1241,0,0
TXN0000045,2026-01-01 00:38:00,28.98,21,electronics,card_present,0.7,0,3948,0,0
TXN0000046,2026-01-01 00:38:00,173.09,7,electronics,card_present,3.7,0,172,0,0
TXN0000047,2026-01-01 00:39:00,51.25,18,online_retail,card_present,1.8,1,1746,1,0
TXN0000048,2026-01-01 00:40:00,137.88,17,travel,mobile_app,4.2,2,116,0,0
TXN0000049,2026-01-01 00:44:00,148.29,11,travel,card_present,0.7,0,2219,0,0
TXN0000050,2026-01-01 00:45:00,134.63,21,utilities,card_present,11.8,1,1518,0,0
TXN0000051,2026-01-01 00:46:00,247.87,20,entertainment,mobile_app,1.7,0,1998,0,0
TXN0000052,2026-01-01 00:47:00,84.55,8,fuel,online,1.5,2,3135,0,0
TXN0000053,2026-01-01 00:47:00,84.66,15,restaurant,mobile_app,3.5,1,1595,0,0
TXN0000054,2026-01-01 00:49:00,236.5,17,grocery,card_present,0.2,2,3755,0,0
TXN0000055,2026-01-01 00:49:00,51.42,14,online_retail,card_present,1.1,0,2093,0,0
TXN0000056,2026-01-01 00:51:00,145.69,14,electronics,card_present,5.0,0,1753,0,0
TXN0000057,2026-01-01 00:51:00,64.68,14,utilities,mobile_app,0.1,1,2608,0,0
TXN0000058,2026-01-01 00:52:00,42.98,8,electronics,mobile_app,1.1,1,3809,0,0
TXN0000059,2026-01-01 00:52:00,87.64,18,restaurant,mobile_app,1.7,1,2232,0,0
TXN0000060,2026-01-01 00:53:00,79.43,11,online_retail,card_present,3.3,0,3693,0,0
TXN0000061,2026-01-01 00:54:00,70.27,19,electronics,card_present,5.7,0,3451,0,0
TXN0000062,2026-01-01 00:55:00,68.55,1,electronics,mobile_app,11.0,0,2775,0,0
TXN0000063,2026-01-01 00:56:00,117.94,9,electronics,mobile_app,0.3,0,798,0,0
TXN0000064,2026-01-01 00:56:00,33.59,4,restaurant,card_present,5.6,0,2489,0,0
TXN0000065,2026-01-01 00:56:00,12.27,14,grocery,online,4.2,2,33,0,0
TXN0000066,2026-01-01 00:56:00,106.43,14,travel,card_present,3.2,0,2484,0,0
TXN0000067,2026-01-01 00:56:00,35.53,11,grocery,card_present,1.8,0,2490,0,0
TXN0000068,2026-01-01 00:57:00,126.41,21,online_retail,mobile_app,1.1,0,938,0,0
TXN0000069,2026-01-01 00:57:00,68.42,15,travel,mobile_app,2.7,1,223,1,0
TXN0000070,2026-01-01 00:57:00,77.01,13,online_retail,online,2.6,1,547,1,0
TXN0000071,2026-01-01 00:58:00,52.64,19,grocery,mobile_app,18.0,0,233,0,0
TXN0000072,2026-01-01 00:58:00,78.28,14,restaurant,card_present,17.6,2,1909,0,0
